"Área principal";"Tipo";"Subtipo";"Cliente";"Nombre";"Url";"Donde esta hosteado";"Esta activo";"Se le da soporte";"Sabemos que se usa";"Estado soporte cliente";"Ambiente";"Responsable";"Última actualización";"ID WebOps"
"Diseño TI";"WordPress";"wordpress";"Bio Insumos Nativa SPA";"bionativa.cl";"https://bionativa.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"a93af0ab-fdf9-4a91-a4cb-24888502bf0c"
"Diseño TI";"WordPress";"wordpress";"Bio Insumos Nativa SPA";"bionativa.com.br";"https://bionativa.com.br";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"9a14055b-32c6-4417-9566-a52e90c4c36c"
"Diseño TI";"WordPress";"wordpress";"Bio Insumos Nativa SPA";"t-inside.cl";"https://t-inside.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"9b28a161-af3b-4f6f-b523-d928f95d1308"
"Desarrollo TI";"App";"Web";"CMPC";"Portal Interacciones";"https://interaccionfp.cmpc.com";"Servidor de CMPC";"Sí";"Con soporte";"Confirmado";"Con soporte";"Producción";"";"29-07-2026";"57c41e68-1324-47a5-9b98-b2aaacb9c772"
"Desarrollo TI";"App";"Web";"Colegio Verbo Divino";"AAEE";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"0316a06e-d68d-4b10-a6a1-4478ccf6dd62"
"Desarrollo TI";"App";"API";"Colegio Verbo Divino";"Cliente Web API";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"923c4e04-b080-4351-bff3-aa1389176794"
"Desarrollo TI";"App";"Web";"Colegio Verbo Divino";"Ficha Postulacion";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"6ffa277a-e2f6-48e3-b6ad-213190f3e739"
"Desarrollo TI";"App";"Web";"Colegio Verbo Divino";"Mailing";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"d8719a4c-1e03-4780-b398-391f1f66c822"
"Desarrollo TI";"App";"Web";"Colegio Verbo Divino";"Matricula";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"74aee4ff-01e6-4ade-bdad-97dce67a9b72"
"Diseño TI";"WordPress";"wordpress";"Constructora G & M S.A.";"constructoragym.cl";"https://constructoragym.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"8f9f9a97-2326-412b-bec3-a6f30f787e17"
"Diseño TI";"Sitio Web";"otro";"Constructora Nelson Bobadilla E.I.R.L";"maestrosalhogar.com";"https://maestrosalhogar.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Probable";"Sin definir";"";"";"29-07-2026";"db2cd0ce-5eef-4981-a35a-a91e3d040f09"
"Diseño TI";"WordPress";"wordpress";"Constructora Silva Hermanos Limitada";"cshl.cl";"https://www.cshl.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin soporte";"Confirmado";"Sin soporte";"";"";"29-07-2026";"d7d864bc-f0b3-4ad2-95b5-6b84d57c7951"
"Diseño TI";"WordPress";"wordpress";"consultorianb.cl";"consultorianb.cl";"https://consultorianb.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin soporte";"No utilizado";"Sin soporte";"";"";"29-07-2026";"d1b578f7-d1cd-4b24-af25-df32054ae677"
"Desarrollo TI";"App";"Web";"Copefrut";"App Web";"";"Servidor Copefrut";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"eb98642d-940f-44ab-ae21-b3e8bc3287f5"
"Desarrollo TI";"App";"Web";"Copefrut";"Monitoreo Producción";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"5c5687df-1cd0-48fe-8c7b-620936e0397e"
"Diseño TI";"WordPress";"wordpress";"DAVID DEL CURTO S.A.";"ddc.cl";"https://ddc.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"b99569a6-d7c6-4936-b0b1-5f22d0f3c438"
"Diseño TI";"WordPress";"wordpress";"Diego Quezada (MUJICA)";"atimecontabilidad.cl";"https://atimecontabilidad.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"7b139c56-6dfc-4e94-b633-7a4788fe63e4"
"Diseño TI";"WordPress";"wordpress";"distribuidorammt.cl";"distribuidorammt.cl";"https://distribuidorammt.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"6c1b5557-57e8-48db-b2ae-d8ad283d5a9a"
"Diseño TI";"SharePoint";"sharepoint";"ECOCOPTER S.A.";"ECOCOPTER S.A. (SharePoint)";"https://ecocopter1.sharepoint.com/";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"07-07-2026";"627b80d2-5e09-4383-ad06-bdba120148e3"
"Diseño TI";"WordPress";"wordpress";"Electriccompany SPA";"electriccompany.cl";"https://electriccompany.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin soporte";"No utilizado";"Sin soporte";"";"";"29-07-2026";"cb358573-497e-4ce8-8587-828e6e9b2567"
"Diseño TI";"WordPress";"wordpress";"Empresa Consultora Y Constructora Rucalhue Limitada";"constructorarucalhue.cl";"https://www.constructorarucalhue.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"a2eac2c5-fc4e-4eab-acf3-0a26bcf93c83"
